c,count
1,2307
2,1385
3,885
4,623
5,457
6,379
7,296
8,250
9,188
10,177
11,135
12,112
13,122
14,96
15,94
16,81
17,91
18,61
19,57
20,75
21,57
22,53
23,53
24,41
25,49
26,37
27,45
28,35
29,37
30,32
31,26
32,32
33,24
34,31
35,23
36,18
37,25
38,22
39,11
40,14
41,20
42,14
43,14
44,15
45,14
46,13
47,10
48,14
49,13
50,8
51,10
52,9
53,5
54,7
55,6
56,3
57,5
58,1
59,8
60,2
61,2
62,1
63,7
64,2
65,2
66,2
67,3
68,1
69,1
70,6
71,1
72,1
73,1
74,5
76,2
77,2
78,1
79,1
82,1
84,3
85,1
86,1
87,1
90,1
91,1
95,2
96,1
99,2
108,1
110,1
112,2
122,1
123,1
148,1
166,1
