name,year,ranked,community
"Citizens' and The Queen Insurance Cos. v. Parsons",1880,0.596659080569467,527
"Dunsmuir v. New Brunswick",2008,0.438220489850088,249
"John Deere Plow Co. Ltd. v. Wharton",1914,0.403426883264141,527
"Canada (Attorney General) v. Alberta (Attorney General)",1921,0.214171635645205,527
"Canada (Attorney-General) v. Alberta (Attorney-General)",1916,0.199536042109508,527
"Canada (Citizenship and Immigration) v. Khosa",2009,0.165405699968941,249
"Baker v. Canada (Minister of Citizenship and Immigration)",1999,0.164252166576143,249
"City of Montreal v. Montreal Street Railway Company (The Attorney-General For the Dominion of Canada and the Attorney-General For the Province of Quebec Intervening)",1912,0.153718916244104,527
"Attorney-General (Ont.) v. Hamilton Street Railway",1903,0.146067131624025,527
"R. v. Great West Saddlery Company",1921,0.127484587084584,527
"Allen v. The King",1911,0.127458789468332,635
"R. v. Craigon",1924,0.124450144740649,527
"Valin v. Langlois",1879,0.118729244662963,527
"R. v. Nat Bell Liquors Limited",1922,0.11117057087144,225
"Newfoundland and Labrador Nurses' Union v. Newfoundland and Labrador (Treasury Board)",2011,0.102091753013038,249
"Hunter et al. v. Southam Inc.",1984,0.0932193928283042,192
"Proprietary Articles Trade Association v. Canada (Attorney General)",1931,0.0909109454713655,527
"R. v. Collins",1987,0.0886658751013382,192
"Fort Frances Pulp and Paper Co. v. Manitoba Free Press Co.",1923,0.0881261884802151,527
"Attorneys-General For the Provinces of Ontario, Quebec, Nova Scotia, New Brunswick, Manitoba, Prince Edward Island, and Alberta, v. Attorney-General For the Dominion of Canada and the Attorney-General For the Province of British Columbia",1912,0.0862695184320277,527
"R. v. Oakes",1986,0.0855387442672707,527
"Toronto Electric Commissioners v. Snider",1925,0.0836627081569575,527
"In re Trepanier",1885,0.0835691603643977,249
"Insurance Companies (Re)",1913,0.0801610850358355,527
"Alberta (Information and Privacy Commissioner) v. Alberta Teachers' Association",2011,0.0782228727876227,249
"In re McNutt",1912,0.0735606668618145,527
"Pushpanathan v. Canada (Minister of Citizenship and Immigration)",1998,0.0727408804838404,249
"R. v. Carter",1916,0.0727081537188185,225
"The Board of Commerce Act (Re)",1920,0.0710440387808694,527
"Rizzo & Rizzo Shoes Ltd. (Re)",1998,0.0706445015469303,249
"Prosko v. The King",1922,0.0699490056093265,192
"Dr. Q. v. College of Physicians and Surgeons of British Columbia",2003,0.0694255490238344,249
"Canada (Director of Investigation and Research) v. Southam Inc.",1997,0.0686273432165308,249
"Law Society of New Brunswick v. Ryan",2003,0.0650045400035078,249
"Rex v. Reinhardt Salvador Brewing Co. Ltd.; Rex v. McFarline",1917,0.0648405673772511,225
"R. v. Big M Drug Mart Ltd.",1985,0.0624706167637864,527
"Rex v. Emery",1916,0.0599998484220656,225
"R. v. Grant",2009,0.0584761101734006,192
"R. v. Hodge",1838,0.0573460943504271,635
"Severn v. The Queen",1878,0.0563747558745803,527
"Canada (Attorney General) v. British Columbia (Attorney General)",1929,0.0554812541083562,527
"Re B.C. Motor Vehicle Act",1985,0.054929816552184,527
"Rex v. Covert",1916,0.0545294869584929,635
"Rex v. Pudwell",1916,0.0537536387685554,225
"Lawson v. Interior Tree Fruit and Vegetable Committee of Direction",1930,0.0521635617052313,527
"Agraira v. Canada (Public Safety and Emergency Preparedness)",2013,0.0521420094409241,249
"C.U.P.E. v. Ontario (Minister of Labour)",2003,0.0515375175252074,249
"Gouin v. The King",1926,0.0506188456516464,635
"Suresh v. Canada (Minister of Citizenship and Immigration)",2002,0.0493787832235979,249
"R. v. Stillman",1997,0.0491175792814167,192
"Reference re legislative jurisdiction of Parliament of Canada to enact the Natural Products Marketing Act, 1934, and The Natural Products Marketing Act Amendment Act, 1935",1936,0.0490031627043054,527
"The King v. Cotton. (Consolidated Appeals.)",1913,0.0487177730589806,527
