hash,url,name,fetched,jurisdiction,court,year,decade,decade_rank
b2c1a516eabfe69979f9203fcedb736d39cf5623,/en/ca/scc/doc/1877/1877canlii19/1877canlii19.html,"Darling v. Brown",1,ca,scc,1877,1870,4
780efe080cf8f16ef00df25a1871599dd6a14800,/en/ca/scc/doc/1877/1877canlii30/1877canlii30.html,"Chesley v. Murdoch",1,ca,scc,1877,1870,4
14585f32dcc25657c3bebb058809fd3e2bcf2b33,/en/ca/scc/doc/1877/1877canlii22/1877canlii22.html,"Johnstone v. The Minister & Trustees of St. Andrews Church, Montreal",1,ca,scc,1877,1870,4
07f06bab745362e6f1692d168f7d20ccb8efdf2b,/en/ca/scc/doc/1877/1877canlii21/1877canlii21.html,"Joyce v. Hart",1,ca,scc,1877,1870,4
0954d0f35c12a58516d38334790d029ec8c30be1,/en/ca/scc/doc/1877/1877canlii20/1877canlii20.html,"WM. Darling v. Robert Brown et Al",1,ca,scc,1877,1870,4
229477f523a1269d57c858c67154fbdb620b2357,/en/ca/scc/doc/1877/1877canlii15/1877canlii15.html,"McCraken v. McIntyre",1,ca,scc,1877,1870,4
f16d167efd246a5b1ec3efcabe6190782cc8e98a,/en/ca/scc/doc/1877/1877canlii3/1877canlii3.html,"Liverpool and London and Globe Ins. Co. v. Wyld and Darling",1,ca,scc,1877,1870,4
18d99c86bf6ea926346ddc5e7bde58fc61c62b75,/en/ca/scc/doc/1877/1877canlii2/1877canlii2.html,"Trust and Loan Co. v. Ruttan",1,ca,scc,1877,1870,4
97cdb8204dd31585706cd82cf6e7f667698ddfa0,/en/ca/scc/doc/1877/1877canlii1/1877canlii1.html,"Nicholls v. Cumming",1,ca,scc,1877,1870,4
5ab7c1ffae9f8a0b7c9b6620b08e9bdbec51a109,/en/ca/scc/doc/1877/1877canlii18/1877canlii18.html,"Drummond v. Baylis",1,ca,scc,1877,1870,4
