language,jurisdiction,court,count
en,ab,abca,21039
en,ab,abci,1
en,ab,abesdab,2
en,ab,abesu,1
en,ab,abgaa,8
en,ab,abhrc,36
en,ab,ablcb,2
en,ab,ablerb,45
en,ab,ablrb,3
en,ab,abls,15
en,ab,aboipc,17
en,ab,abpc,1797
en,ab,abqb,14679
en,ab,absdab,5
en,ab,absec,73
en,ab,absr,3
en,ab,absrb,4
en,ab,abwcac,6
en,bc,bcca,25571
en,bc,bccc,1
en,bc,bccrt,5
en,bc,bchprb,8
en,bc,bchrt,1448
en,bc,bcipc,49
en,bc,bcla,2
en,bc,bclrb,14
en,bc,bcpc,1571
en,bc,bcsc,24733
en,bc,bcsec,175
en,bc,bcwcat,4
en,bc,lsbc,259
en,ca,caci,1
en,ca,cact,26
en,ca,caiiroc,28
en,ca,cala,6
en,ca,cart,67
en,ca,chrt,229
en,ca,cirb,272
en,ca,citt,8
en,ca,cm,50
en,ca,cmac,63
en,ca,fca,9041
en,ca,fct,12609
en,ca,forep,9
en,ca,irb,33
en,ca,ohstc,14
en,ca,pcc,1
en,ca,pslreb,83
en,ca,pssrb,680
en,ca,psst,74
en,ca,scc,11396
en,ca,scc-l,290
en,ca,sct,14
en,ca,sst,14
en,ca,tcc,1660
en,ca,tmob,84
en,ca,ukjcpc,603
en,mb,mbca,9579
en,mb,mbcc,6
en,mb,mbcpsdc,2
en,mb,mbhrc,10
en,mb,mblb,1
en,mb,mbls,10
en,mb,mbpc,218
en,mb,mbqb,5619
en,nb,nbapab,1
en,nb,nbca,6699
en,nb,nbfcst,16
en,nb,nbirb,2
en,nb,nbla,1
en,nb,nbleb,5
en,nb,nblsb,8
en,nb,nbpc,137
en,nb,nbqb,3113
en,nb,nbsec,1
en,nb,nbwcat,8
en,nb,nbwhscc,25
en,nl,nlca,2490
en,nl,nlipc,2
en,nl,nlls,2
en,nl,nlpc,87
en,nl,nlsc,84
en,nl,nlsctd,2014
en,ns,nsbs,12
en,ns,nsca,6155
en,ns,nsfc,67
en,ns,nsfoipop,4
en,ns,nshrc,7
en,ns,nslb,21
en,ns,nslrb,2
en,ns,nslst,5
en,ns,nsohsap,1
en,ns,nspc,283
en,ns,nspr,2
en,ns,nssc,3866
en,ns,nssf,70
en,ns,nssm,13
en,ns,nsuarb,101
en,ns,nswcat,2
en,nt,ntca,114
en,nt,nthrap,2
en,nt,ntsc,328
en,nt,nttc,77
en,nt,ntyjc,1
en,nu,nuca,36
en,nu,nucj,107
en,nu,nuyc,1
en,on,onafraat,3
en,on,onca,31558
en,on,oncc,2
en,on,onccb,25
en,on,oncj,2524
en,on,oncno,1
en,on,oncpdc,10
en,on,oncps,1
en,on,oncpsd,19
en,on,ondr,2
en,on,ongsb,16
en,on,onhcj,30
en,on,onhparb,8
en,on,onhrt,951
en,on,onipc,28
en,on,onla,28
en,on,onlat,2
en,on,onlrb,88
en,on,onlst,527
en,on,onltb,4
en,on,onomb,2
en,on,onpeht,2
en,on,onpgb,1
en,on,onsc,22436
en,on,onscdc,1440
en,on,onscsm,4
en,on,onsec,30
en,on,onwsiat,30
en,on,onwsib,1
en,pe,peihrc,1
en,pe,peipc,14
en,pe,pepc,5
en,pe,pescad,643
en,pe,pesctd,733
en,qc,qcbdrvm,1
en,qc,qcca,4423
en,qc,qccdbq,1
en,qc,qccm,9
en,qc,qccq,328
en,qc,qccs,888
en,qc,qctdp,24
en,qc,qctmf,2
en,qc,qctp,2
en,sk,skac,1
en,sk,skaia,54
en,sk,skca,10060
en,sk,skdc,53
en,sk,skhrt,2
en,sk,skipc,2
en,sk,skla,6
en,sk,sklgb,3
en,sk,sklrb,64
en,sk,sklss,22
en,sk,skmb,13
en,sk,skmt,9
en,sk,skort,1
en,sk,skpc,632
en,sk,skqb,9376
en,sk,sksc,3
en,sk,sksu,24
en,sk,skufc,18
en,yk,ykca,183
en,yk,yksc,226
en,yk,yksm,3
en,yk,yktc,222
en,yk,ykyc,4
fr,ab,abca,2
fr,ab,abpc,1
fr,ab,abqb,3
fr,bc,bcca,7
fr,mb,mbca,3
fr,mb,mbqb,1
fr,nb,nbbr,151
fr,nb,nbca,380
fr,nb,nbcssiat,1
fr,nb,nbpc,9
fr,nl,nlca,2
fr,nt,ntsc,2
fr,nu,nuca,1
fr,on,onca,154
fr,on,oncj,3
fr,on,onhrt,2
fr,on,onsc,13
fr,on,onscdc,3
fr,on,ontb,4
fr,pe,pescad,2
fr,pe,pesctd,1
fr,qc,qcbdr,9
fr,qc,qcbdrvm,6
fr,qc,qcca,52215
fr,qc,qccai,2
fr,qc,qccalp,76
fr,qc,qccdbq,47
fr,qc,qccdchad,4
fr,qc,qccdcm,14
fr,qc,qccdcsf,11
fr,qc,qccdnq,1
fr,qc,qccdoii,1
fr,qc,qccdoiq,5
fr,qc,qccdopq,2
fr,qc,qccdp,8
fr,qc,qccfp,5
fr,qc,qcclp,207
fr,qc,qccm,46
fr,qc,qccpa,1
fr,qc,qccptaq,4
fr,qc,qccq,1902
fr,qc,qccraaap,2
fr,qc,qccrt,313
fr,qc,qccs,5445
fr,qc,qcct,35
fr,qc,qccvm,1
fr,qc,qcdag,15
fr,qc,qcochq,1
fr,qc,qcopq,2
fr,qc,qcracj,3
fr,qc,qcrbq,5
fr,qc,qcrdl,3
fr,qc,qcrmaaq,3
fr,qc,qcsat,162
fr,qc,qctaq,155
fr,qc,qctat,104
fr,qc,qctdp,166
fr,qc,qctmf,3
fr,qc,qctp,244
fr,qc,qctt,205
fr,sk,skca,7
fr,yk,yksc,3
fr,yk,yktc,1
