src_year,dst_jurisdiction,count
1879,ca,3
1880,ca,5
1881,ca,4
1882,ca,2
1883,ca,10
1884,ca,10
1885,ca,18
1885,on,1
1886,ca,26
1886,mb,1
1887,bc,1
1887,ca,26
1887,mb,1
1888,ca,18
1888,mb,1
1888,qc,1
1889,ca,40
1889,mb,2
1889,qc,2
1890,ca,27
1891,ca,70
1891,mb,8
1892,ca,81
1892,mb,4
1893,ca,25
1893,on,1
1893,qc,4
1894,ca,65
1894,mb,1
1894,qc,1
1895,ca,91
1895,mb,1
1895,qc,3
1896,ca,102
1896,mb,6
1896,qc,3
1897,ca,145
1897,mb,1
1897,qc,8
1898,ca,121
1898,mb,1
1898,on,1
1898,qc,6
1899,ca,82
1899,mb,2
1899,qc,3
1900,ca,115
1900,mb,2
1900,qc,3
1901,ca,102
1901,mb,6
1901,qc,5
1902,ca,127
1902,on,3
1902,qc,2
1903,ca,210
1903,mb,3
1903,on,1
1903,qc,1
1904,ca,130
1904,mb,9
1904,qc,2
1905,ca,181
1905,mb,6
1905,ns,1
1905,qc,4
1906,ca,96
1906,mb,2
1906,on,2
1906,qc,3
1907,ca,120
1907,mb,4
1907,on,3
1907,qc,1
1908,ca,101
1908,mb,7
1908,nb,1
1908,on,1
1908,qc,2
1909,ab,5
1909,ca,97
1909,mb,11
1910,ab,7
1910,ca,75
1910,mb,8
1910,ns,2
1911,ab,2
1911,bc,1
1911,ca,60
1911,mb,8
1911,on,1
1912,ab,1
1912,bc,4
1912,ca,101
1912,mb,12
1912,on,3
1912,qc,1
1913,ab,7
1913,bc,8
1913,ca,127
1913,mb,5
1913,nb,1
1913,on,4
1913,qc,2
1913,sk,1
1914,ab,7
1914,bc,3
1914,ca,113
1914,mb,5
1914,on,11
1914,qc,1
1914,sk,1
1915,ab,4
1915,bc,3
1915,ca,156
1915,mb,4
1915,on,3
1915,qc,3
1915,sk,1
1916,ab,10
1916,bc,7
1916,ca,249
1916,mb,6
1916,nb,3
1916,ns,2
1916,nt,1
1916,on,14
1916,pe,1
1916,qc,5
1917,ab,26
1917,bc,6
1917,ca,174
1917,mb,9
1917,nb,1
1917,ns,3
1917,on,22
1917,qc,3
1917,sk,6
1918,ab,31
1918,bc,19
1918,ca,200
1918,mb,16
1918,nb,6
1918,ns,6
1918,on,19
1918,qc,3
1918,sk,16
1919,ab,30
1919,bc,17
1919,ca,172
1919,mb,14
1919,ns,10
1919,on,34
1919,qc,4
1919,sk,16
1920,ab,33
1920,bc,12
1920,ca,115
1920,mb,1
1920,nb,4
1920,ns,1
1920,on,8
1920,qc,5
1920,sk,11
1921,ab,16
1921,bc,5
1921,ca,127
1921,nb,5
1921,ns,1
1921,on,15
1921,qc,1
1921,sk,7
1922,ab,8
1922,bc,14
1922,ca,125
1922,mb,9
1922,on,10
1922,sk,8
1923,ab,14
1923,bc,1
1923,ca,110
1923,mb,1
1923,ns,2
1923,on,10
1923,qc,1
1923,sk,12
1924,ab,15
1924,bc,9
1924,ca,88
1924,mb,6
1924,nb,2
1924,on,3
1924,sk,7
1925,ab,11
1925,bc,1
1925,ca,55
1925,mb,8
1925,nb,1
1925,ns,1
1925,on,5
1925,pe,1
1925,qc,5
1925,sk,8
1926,ab,22
1926,bc,7
1926,ca,87
1926,mb,10
1926,ns,1
1926,on,5
1926,qc,6
1926,sk,2
1927,ab,13
1927,bc,14
1927,ca,58
1927,mb,15
1927,nb,3
1927,ns,1
1927,on,13
1927,qc,2
1927,sk,7
1928,ab,7
1928,bc,9
1928,ca,73
1928,mb,16
1928,nb,1
1928,ns,3
1928,on,16
1928,sk,9
1929,ab,16
1929,bc,10
1929,ca,108
1929,mb,10
1929,nb,5
1929,ns,1
1929,on,15
1929,pe,1
1929,qc,4
1929,sk,4
1930,ab,9
1930,bc,7
1930,ca,93
1930,mb,2
1930,ns,2
1930,on,13
1930,qc,4
1930,sk,1
1931,ab,9
1931,bc,14
1931,ca,83
1931,mb,7
1931,nb,2
1931,ns,4
1931,on,13
1931,qc,1
1931,sk,2
1932,ab,25
1932,bc,14
1932,ca,125
1932,mb,4
1932,nb,2
1932,ns,1
1932,on,17
1932,pe,1
1932,qc,7
1932,sk,2
1933,ab,12
1933,bc,7
1933,ca,132
1933,mb,1
1933,nb,1
1933,ns,1
1933,on,28
1933,qc,3
1933,sk,6
1934,ab,8
1934,bc,5
1934,ca,107
1934,mb,8
1934,nb,2
1934,ns,11
1934,on,33
1934,qc,2
1934,sk,1
