name,year,importance,community,court
"Dunsmuir v. New Brunswick",2008,0.25210712593799,1144,scc
"Hunter et al. v. Southam Inc.",1984,0.140802641456021,638,scc
"R. v. Oakes",1986,0.14036347788045,226,scc
"Housen v. Nikolaisen",2002,0.131360549483754,1144,scc
"R. v. Collins",1987,0.121080475443963,638,scc
"Baker v. Canada (Minister of Citizenship and Immigration)",1999,0.120078909244161,1144,scc
"R. v. Big M Drug Mart Ltd.",1985,0.106819964863864,226,scc
"Canada (Citizenship and Immigration) v. Khosa",2009,0.091619326947786,1144,scc
"Re B.C. Motor Vehicle Act",1985,0.0913606201756284,226,scc
"R. v. Grant",2009,0.0786364536330909,638,scc
"Rizzo & Rizzo Shoes Ltd. (Re)",1998,0.0767144542012018,1144,scc
"Irwin Toy Ltd. v. Quebec (Attorney General)",1989,0.0743353056336584,226,scc
"Andrews v. Law Society of British Columbia",1989,0.0708523303762757,226,scc
"R. v. Edwards Books and Art Ltd.",1986,0.0689854347177251,226,scc
"R. v. Stillman",1997,0.0677301557439675,638,scc
"Dr. Q. v. College of Physicians and Surgeons of British Columbia",2003,0.0653891719486117,1144,scc
"R. v. O'Connor",1995,0.0653583391027551,816,scc
"R. v. M. (C.A.)",1996,0.0645137859235412,666,scc
"RJR-MacDonald Inc. v. Canada (Attorney General)",1995,0.0621848436462859,226,scc
"R. v. Lyons",1987,0.0600806232190258,666,scc
"Pushpanathan v. Canada (Minister of Citizenship and Immigration)",1998,0.0599126200553435,1144,scc
"Newfoundland and Labrador Nurses' Union v. Newfoundland and Labrador (Treasury Board)",2011,0.0584601312248049,1144,scc
"Alberta (Information and Privacy Commissioner) v. Alberta Teachers' Association",2011,0.0574975141408022,1144,scc
"R. v. Morgentaler",1988,0.0574515301168688,226,scc
"R. v. Sharpe",2001,0.0564183745124271,226,scc
"Canada (Director of Investigation and Research) v. Southam Inc.",1997,0.0560397689749811,1144,scc
"Rodriguez v. British Columbia (Attorney General)",1993,0.0556695719302109,226,scc
"Blencoe v. British Columbia (Human Rights Commission)",2000,0.0556283137805099,226,scc
"R. v. Keegstra",1990,0.0554880172176723,226,scc
"R. v. Therens",1985,0.0554763042355132,638,scc
"Thomson Newspapers Ltd. v. Canada (Director of Investigation and Research, Restrictive Trade Practices Commission)",1990,0.0554433475033686,638,scc
"Law Society of New Brunswick v. Ryan",2003,0.0552023479236465,1144,scc
"Schachter v. Canada",1992,0.0548184533580164,226,scc
"Law v. Canada (Minister of Employment and Immigration)",1999,0.0523355850016214,226,scc
"R. v. Garofoli",1990,0.0521470570075321,638,scc
"Bell ExpressVu Limited Partnership v. Rex",2002,0.0515857877126901,1144,scc
"Dagenais v. Canadian Broadcasting Corp.",1994,0.0515355473361157,226,scc
"Eldridge v. British Columbia (Attorney General)",1997,0.0511245939649328,226,scc
"Slaight Communications Inc. v. Davidson",1989,0.0509408490933353,226,scc
"Reference re ss. 193 and 195.1(1)(C) of the criminal code (Man.)",1990,0.0504453934581486,226,scc
"R. v. Seaboyer;  R. v. Gayme",1991,0.0498977603798738,411,scc
"R. v. Mills",1999,0.0498041822953602,816,scc
"Suresh v. Canada (Minister of Citizenship and Immigration)",2002,0.0494890655858197,1144,scc
"R. v. Malmo-Levine; R. v. Caine",2003,0.0492003195071072,226,scc
"R. v. Mann",2004,0.048471305245741,638,scc
"R. v. Buhay",2003,0.0475288369104666,638,scc
"R. v. Swain",1991,0.0468269918921152,226,scc
"Mckinney v. University of Guelph",1990,0.0458085531047722,226,scc
"Toronto (City) v. C.U.P.E., Local 79",2003,0.0457633441790007,1144,scc
"Vriend v. Alberta",1998,0.0452848589146111,226,scc
"R. v. Debot",1989,0.0452645804388338,638,scc
"Canada (Attorney General) v. Mossop",1993,0.0449464992654679,1144,scc
"R. v. Araujo",2000,0.044022387308253,638,scc
"Singh v. Minister of Employment and Immigration",1985,0.0438707220732133,226,scc
"Gosselin v. Québec (Attorney General)",2002,0.0438448129388751,226,scc
"Canada (Minister of Citizenship and Immigration) v. Vavilov",2019,0.0432313039930794,1144,scc
"R. v. W.(D.)",1991,0.0431013494920312,411,scc
"New Brunswick (Minister of Health and Community Services) v. G. (J.)",1999,0.0428630257148885,226,scc
"Mills v. The Queen",1986,0.0425089182108114,816,scc
"R. v. Hebert",1990,0.0423900734634477,638,scc
"Reference Re Public Service Employee Relations Act (Alta.)",1987,0.0420920405980728,226,scc
"R. v. Grant",1993,0.0417294516062279,638,scc
"Edmonton Journal v. Alberta (Attorney General)",1989,0.0413899619498547,226,scc
"C.U.P.E. v. Ontario (Minister of Labour)",2003,0.0413411444593552,1144,scc
"R. v. Beare; R. v. Higgins",1988,0.0412490079834994,226,scc
"Egan v. Canada",1995,0.0403358527449965,226,scc
"Canadian Foundation for Children, Youth and the Law v. Canada (Attorney General)",2004,0.0399221880511691,226,scc
"R. v. Edwards",1996,0.0395674000772296,638,scc
"R. v. Smith (Edward Dewey)",1987,0.0395395265442191,666,scc
