court,year,count
abca,1907,1
abca,1908,2
abca,1909,21
abca,1910,30
abca,1911,14
abca,1912,46
abca,1913,43
abca,1914,74
abca,1915,96
abca,1916,98
abca,1917,127
abca,1918,109
abca,1919,97
abca,1920,89
abca,1921,97
abca,1922,131
abca,1923,98
abca,1924,104
abca,1925,72
abca,1926,48
abca,1927,58
abca,1928,63
abca,1929,68
abca,1930,69
abca,1931,82
abca,1932,41
abca,1933,23
abca,1934,20
abca,1935,22
abca,1936,35
abca,1937,20
abca,1938,33
abca,1939,15
abca,1940,20
abca,1941,13
abca,1942,29
abca,1943,22
abca,1944,26
abca,1945,31
abca,1946,30
abca,1947,19
abca,1948,25
abca,1949,28
abca,1950,25
abca,1951,26
abca,1952,23
abca,1953,19
abca,1954,28
abca,1955,33
abca,1956,37
abca,1957,42
abca,1958,42
abca,1959,40
abca,1960,30
abca,1961,27
abca,1962,27
abca,1963,26
abca,1964,34
abca,1965,38
abca,1966,30
abca,1967,30
abca,1968,35
abca,1969,49
abca,1970,60
abca,1971,86
abca,1972,115
abca,1973,144
abca,1974,121
abca,1975,104
abca,1976,244
abca,1977,329
abca,1978,429
abca,1979,353
abca,1980,378
abca,1981,357
abca,1982,373
abca,1983,333
abca,1984,354
abca,1985,313
abca,1986,265
abca,1987,267
abca,1988,395
abca,1989,336
abca,1990,376
abca,1991,354
abca,1992,367
abca,1993,441
abca,1994,436
abca,1995,524
abca,1996,435
abca,1997,421
abca,1998,428
abca,1999,375
abca,2000,357
abca,2001,318
abca,2002,311
abca,2003,372
abca,2004,417
abca,2005,454
abca,2006,409
abca,2007,426
abca,2008,439
abca,2009,420
abca,2010,411
abca,2011,384
abca,2012,398
abca,2013,443
abca,2014,449
abca,2015,408
abca,2016,413
abca,2017,439
abca,2018,438
abca,2019,508
abca,2020,470
abca,2021,14
abqb,1907,12
abqb,1908,40
abqb,1909,36
abqb,1910,11
abqb,1911,18
abqb,1912,84
abqb,1913,81
abqb,1914,71
abqb,1915,71
abqb,1916,43
abqb,1917,20
abqb,1918,32
abqb,1919,73
abqb,1920,51
abqb,1921,30
abqb,1922,39
abqb,1923,49
abqb,1924,34
abqb,1925,30
abqb,1926,39
abqb,1927,34
abqb,1928,33
abqb,1929,30
abqb,1930,31
abqb,1931,36
abqb,1932,17
abqb,1933,9
abqb,1934,14
abqb,1935,14
abqb,1936,19
abqb,1937,13
abqb,1938,35
abqb,1939,23
abqb,1940,22
abqb,1941,29
abqb,1942,18
abqb,1943,28
abqb,1944,17
abqb,1945,36
abqb,1946,32
abqb,1947,34
abqb,1948,36
abqb,1949,27
abqb,1950,36
abqb,1951,35
abqb,1952,28
abqb,1953,28
abqb,1954,28
abqb,1955,32
abqb,1956,25
abqb,1957,31
abqb,1958,19
abqb,1959,26
abqb,1960,42
abqb,1961,28
abqb,1962,30
abqb,1963,43
abqb,1964,49
abqb,1965,38
abqb,1966,34
abqb,1967,22
abqb,1968,29
abqb,1969,27
abqb,1970,39
abqb,1971,43
abqb,1972,54
abqb,1973,35
abqb,1974,83
abqb,1975,62
abqb,1976,74
abqb,1977,171
abqb,1978,145
abqb,1979,120
abqb,1980,99
abqb,1981,116
abqb,1982,141
abqb,1983,103
abqb,1984,129
abqb,1985,183
abqb,1986,192
abqb,1987,183
abqb,1988,185
abqb,1989,177
abqb,1990,156
abqb,1991,181
abqb,1992,208
abqb,1993,247
abqb,1994,239
abqb,1995,226
abqb,1996,246
abqb,1997,243
abqb,1998,363
abqb,1999,361
abqb,2000,424
abqb,2001,411
abqb,2002,440
abqb,2003,450
abqb,2004,444
abqb,2005,451
abqb,2006,410
abqb,2007,385
abqb,2008,395
abqb,2009,373
abqb,2010,404
abqb,2011,403
abqb,2012,424
abqb,2013,357
abqb,2014,366
abqb,2015,355
abqb,2016,315
abqb,2017,323
abqb,2018,344
abqb,2019,257
abqb,2020,66
bcca,1910,4
bcca,1911,7
bcca,1912,51
bcca,1913,44
bcca,1914,44
bcca,1915,37
bcca,1916,31
bcca,1917,36
bcca,1918,33
bcca,1919,27
bcca,1920,34
bcca,1921,32
bcca,1922,41
bcca,1923,40
bcca,1924,31
bcca,1925,40
bcca,1926,47
bcca,1927,39
bcca,1928,36
bcca,1929,33
bcca,1930,45
bcca,1931,45
bcca,1932,32
bcca,1933,29
bcca,1934,32
bcca,1935,21
bcca,1936,23
bcca,1937,31
bcca,1938,30
bcca,1939,26
bcca,1940,44
bcca,1941,42
bcca,1942,32
bcca,1943,50
bcca,1944,45
bcca,1945,53
bcca,1946,47
bcca,1947,35
bcca,1948,23
bcca,1949,38
bcca,1950,69
bcca,1951,82
bcca,1952,47
bcca,1953,71
bcca,1954,71
bcca,1955,48
bcca,1956,79
bcca,1957,89
bcca,1958,56
bcca,1959,57
bcca,1960,67
bcca,1961,61
bcca,1962,85
bcca,1963,65
bcca,1964,81
bcca,1965,79
bcca,1966,77
bcca,1967,77
bcca,1968,115
bcca,1969,101
bcca,1970,109
bcca,1971,91
bcca,1972,105
bcca,1973,84
bcca,1974,94
bcca,1975,87
bcca,1976,53
bcca,1977,93
bcca,1978,129
bcca,1979,151
bcca,1980,154
bcca,1981,213
bcca,1982,199
bcca,1983,197
bcca,1984,274
bcca,1985,275
bcca,1986,280
bcca,1987,247
bcca,1988,263
bcca,1989,227
bcca,1990,741
bcca,1991,734
bcca,1992,670
bcca,1993,771
bcca,1994,749
bcca,1995,712
bcca,1996,782
bcca,1997,836
bcca,1998,765
bcca,1999,774
bcca,2000,690
bcca,2001,679
bcca,2002,695
bcca,2003,700
bcca,2004,661
bcca,2005,629
bcca,2006,579
bcca,2007,616
bcca,2008,522
bcca,2009,570
bcca,2010,585
bcca,2011,528
bcca,2012,516
bcca,2013,552
bcca,2014,503
bcca,2015,517
bcca,2016,497
bcca,2017,449
bcca,2018,484
bcca,2019,463
bcca,2020,375
bcca,2021,22
bcsc,1895,1
bcsc,1896,1
bcsc,1897,2
bcsc,1898,4
bcsc,1899,1
bcsc,1900,4
bcsc,1901,4
bcsc,1902,7
bcsc,1903,5
bcsc,1904,12
bcsc,1905,6
bcsc,1906,4
bcsc,1907,3
bcsc,1908,8
bcsc,1909,1
bcsc,1910,3
bcsc,1911,7
bcsc,1912,15
bcsc,1913,37
bcsc,1914,30
bcsc,1915,17
bcsc,1916,6
bcsc,1918,26
bcsc,1919,20
bcsc,1920,16
bcsc,1921,15
bcsc,1922,13
bcsc,1923,16
bcsc,1924,18
bcsc,1925,21
bcsc,1926,13
bcsc,1927,15
bcsc,1928,22
bcsc,1929,28
bcsc,1930,23
bcsc,1931,18
bcsc,1932,12
bcsc,1933,16
bcsc,1934,15
bcsc,1935,19
bcsc,1936,25
bcsc,1937,31
bcsc,1938,24
bcsc,1939,38
bcsc,1940,18
bcsc,1941,28
bcsc,1942,20
bcsc,1943,18
bcsc,1944,24
bcsc,1945,16
bcsc,1946,22
bcsc,1947,21
bcsc,1948,34
bcsc,1949,35
bcsc,1950,37
bcsc,1951,51
bcsc,1952,45
bcsc,1953,63
bcsc,1954,57
bcsc,1955,54
bcsc,1956,67
bcsc,1957,61
bcsc,1958,67
bcsc,1959,70
bcsc,1960,61
bcsc,1961,74
bcsc,1962,76
bcsc,1963,85
bcsc,1964,97
bcsc,1965,75
bcsc,1966,52
bcsc,1967,80
bcsc,1968,96
bcsc,1969,107
bcsc,1970,78
bcsc,1971,119
bcsc,1972,148
bcsc,1973,116
bcsc,1974,165
bcsc,1975,152
bcsc,1976,141
bcsc,1977,208
bcsc,1978,225
bcsc,1979,302
bcsc,1980,241
bcsc,1981,264
bcsc,1982,279
bcsc,1983,255
bcsc,1984,269
bcsc,1985,238
bcsc,1986,249
bcsc,1987,234
bcsc,1988,238
bcsc,1989,120
bcsc,1990,150
bcsc,1991,188
bcsc,1992,198
bcsc,1993,167
bcsc,1994,208
bcsc,1995,227
bcsc,1996,211
bcsc,1997,283
bcsc,1998,264
bcsc,1999,213
bcsc,2000,741
bcsc,2001,762
bcsc,2002,788
bcsc,2003,873
bcsc,2004,820
bcsc,2005,869
bcsc,2006,965
bcsc,2007,944
bcsc,2008,991
bcsc,2009,977
bcsc,2010,960
bcsc,2011,903
bcsc,2012,949
bcsc,2013,997
bcsc,2014,953
