year,sum,community
1970,4.32073574213974e-05,9
1971,8.05069597564983e-05,9
1972,2.42786351633783e-05,9
1973,4.85009099852747e-05,9
1974,6.33400240161512e-05,9
1975,0.000208949955533417,9
1976,4.84016661242723e-05,9
1977,6.1170461259023e-05,9
1978,0.000216598790489387,9
1979,6.83038085613476e-05,9
1980,0.000180376966968069,9
1981,0.000162363374934571,9
1982,0.000114228489588215,9
1983,8.55898379473089e-05,9
1984,0.000110239197973681,9
1985,0.000149108856085784,9
1986,0.000121586139118687,9
1987,0.000139466715894239,9
1988,0.000120370785212015,9
1989,0.000177400603040239,9
1990,0.000167007772430563,9
1991,0.000201788217390173,9
1992,0.000137377183192603,9
1993,0.000178427836034908,9
1994,0.000164284258717409,9
1995,0.000170300832417667,9
1996,0.000331395616795803,9
1997,0.000198910890986669,9
1998,0.000185901880767148,9
1999,0.000227153752594502,9
2000,0.000163152448979408,9
2001,0.000226361501012618,9
2002,0.00029032791338334,9
2003,0.000375273137651672,9
2004,0.000398685881074581,9
2005,0.000432166213224287,9
2006,0.000357026273161573,9
2007,0.000421101124676431,9
2008,0.000403142510227432,9
2009,0.000383437104392916,9
2010,0.000517072195522937,9
2011,0.000458156694877422,9
2012,0.000419030079801116,9
2013,0.00050292416641548,9
2014,0.000411075986330645,9
2015,0.000406796178542376,9
2016,0.00052002857588068,9
2017,0.000666411835235105,9
2018,0.000483719288530695,9
2019,0.000738537023096233,9
2020,0.000647178221737611,9
1970,8.11432416948258e-05,99
1971,5.78289157720415e-05,99
1972,3.82597883567477e-05,99
1973,8.55464873663853e-05,99
1974,8.18476301435059e-05,99
1975,5.37465698813001e-05,99
1976,5.35076087335794e-05,99
1977,3.42501682028203e-05,99
1978,7.70292515250852e-05,99
1979,4.36407843840068e-05,99
1980,0.000127183669539197,99
1981,6.76430514648283e-05,99
1982,4.60717091913663e-05,99
1983,9.32941511653015e-05,99
1984,9.26835170231331e-05,99
1985,0.00017172348500561,99
1986,0.000100404499590138,99
1987,0.000102353603029161,99
1988,9.71172055736733e-05,99
1989,0.000178191116372496,99
1990,0.000178665279707627,99
1991,0.000151909251952232,99
1992,0.000177165914920949,99
1993,0.000196392199747287,99
1994,0.000175572213398076,99
1995,0.00018579234481982,99
1996,0.000150455414977643,99
1997,0.000200838990917231,99
1998,0.000184764845189312,99
1999,0.00024215803607595,99
2000,0.000229556294674051,99
2001,0.000302923272192213,99
2002,0.000271434775537972,99
2003,0.000296881119681526,99
2004,0.000339843614203687,99
2005,0.000449689114326884,99
2006,0.000393554523636921,99
2007,0.000377818399314982,99
2008,0.000387418347177452,99
2009,0.000348395588800021,99
2010,0.000379009699233102,99
2011,0.000368916442975564,99
2012,0.000374860733444972,99
2013,0.000391562813361085,99
2014,0.000474568270947761,99
2015,0.000475303569635376,99
2016,0.000433932490436852,99
2017,0.000498635106973829,99
2018,0.000388113992664737,99
2019,0.000520992790253906,99
2020,0.000704458113499452,99
2021,0.000854118619571541,99
1970,0.000204855764216819,226
1971,0.000290272162698102,226
1972,0.000521079976523763,226
1973,0.000229778832988818,226
1974,0.000443012077211674,226
1975,0.000733240920170599,226
1976,0.000373243924252513,226
1977,0.000187452209264964,226
1978,0.000505446820879163,226
1979,0.000272105787986349,226
1980,0.00027530552504828,226
1981,0.000608939949575284,226
1982,0.00069753425948608,226
1983,0.000718186330184228,226
1984,0.00105594527614537,226
1985,0.00250825771101197,226
1986,0.00276461063969392,226
1987,0.00258849512138181,226
1988,0.00261670515754895,226
1989,0.00329173172358471,226
1990,0.00303866057887739,226
1991,0.00258020431679684,226
1992,0.00278566985799862,226
1993,0.00239577086067795,226
1994,0.00222209001422425,226
1995,0.00310133251000857,226
1996,0.00228896470313013,226
1997,0.00266602668481179,226
1998,0.00215319259472599,226
1999,0.00258764062999056,226
2000,0.00219993585832479,226
2001,0.00188969388507669,226
2002,0.00225455856576857,226
2003,0.00161910814964032,226
2004,0.00146381094986197,226
2005,0.000977959752015553,226
2006,0.00125592277093733,226
2007,0.00145988891411755,226
2008,0.00134250400934156,226
2009,0.00116148484363376,226
2010,0.00116690493079293,226
2011,0.00142464851789055,226
2012,0.00166402781651943,226
2013,0.00193719445796183,226
2014,0.00175813051932012,226
2015,0.00269870054320575,226
2016,0.0017246172981435,226
2017,0.00184918974452573,226
2018,0.00205087990398681,226
2019,0.00213103500882772,226
2020,0.00343701360931028,226
2021,0.00111510357910122,226
1970,0.000306134267944038,411
1971,0.000124552111230848,411
1972,0.000108046491441413,411
1973,0.000191458543383107,411
1974,0.000290981896794689,411
1975,0.000247277152962953,411
1976,0.00031605975311994,411
1977,0.00029288471519496,411
1978,0.000285851686959958,411
1979,0.000463233873197324,411
1980,0.000251892040734607,411
1981,0.000257814011393153,411
1982,0.000474218582694783,411
1983,0.000292404488718719,411
1984,0.000348402784536291,411
1985,0.000378422261991896,411
1986,0.000423669447166168,411
1987,0.000723808126271549,411
1988,0.000702404428867429,411
1989,0.000499632693315968,411
1990,0.000650403106162432,411
1991,0.000791192307620485,411
1992,0.000679299399789332,411
1993,0.00080236501806806,411
1994,0.000748963236372827,411
1995,0.000602414917082415,411
1996,0.000720942113052647,411
1997,0.000690028860272952,411
1998,0.000724685159141329,411
1999,0.00063039071361359,411
2000,0.000865508666204401,411
2001,0.000766687839773514,411
2002,0.000821604815012346,411
2003,0.000675528210814491,411
2004,0.000723586977526623,411
2005,0.000647811273665181,411
2006,0.000684226914239431,411
2007,0.000734541169682497,411
2008,0.000864158832228195,411
2009,0.000737634304532568,411
2010,0.000705729850829853,411
2011,0.000730078971275512,411
2012,0.000839456767237096,411
2013,0.000774558063893006,411
2014,0.000716153687554927,411
2015,0.000814343590883329,411
2016,0.000767414100453366,411
2017,0.000708514540674759,411
2018,0.000707840515772684,411
2019,0.000848305628023954,411
2020,0.00100154306308079,411
2021,0.00109110241082292,411
1970,2.48542453118902e-05,536
1971,1.01835240103351e-05,536
1972,2.16195034375923e-05,536
1973,4.11163603485708e-05,536
1974,2.13133082738925e-05,536
1975,2.6161656005543e-05,536
1976,2.7175274167015e-05,536
1977,2.48660196787743e-05,536
1978,2.5418080499584e-05,536
1979,2.77221223793126e-05,536
1980,2.17520427627748e-05,536
1981,2.81546476417075e-05,536
1982,1.59415431624634e-05,536
1983,3.57686312829677e-05,536
1984,2.32028894554274e-05,536
1985,4.38845496459425e-05,536
1986,2.44551275965513e-05,536
1987,5.39847976314922e-05,536
1988,4.54498168171844e-05,536
1989,7.78639106978988e-05,536
1990,5.02590137281702e-05,536
1991,3.40568451176574e-05,536
1992,0.000115473279029944,536
1993,0.000151812721645597,536
1994,0.000143813792076351,536
1995,0.000102090903956783,536
1996,0.000102590468837722,536
1997,8.65072108153778e-05,536
1998,8.09898464976659e-05,536
1999,0.00014642440974008,536
2000,9.52611290262564e-05,536
2001,0.000159694789598023,536
2002,0.000120138121687749,536
2003,0.000160133034428878,536
2004,0.000122003443771296,536
2005,0.000165967669867845,536
2006,0.000164374027991848,536
2007,0.000134506617952587,536
2008,0.000147144151458945,536
2009,0.000194659306319316,536
2010,0.00015526968364336,536
2011,0.0002079079708168,536
2012,0.000219897746579761,536
2013,0.000164133233752241,536
2014,0.00021516810945085,536
2015,0.000216220254634597,536
2016,0.000263731749712271,536
2017,0.000255785321624081,536
2018,0.000281255951705002,536
2019,0.000361953056763148,536
2020,0.00056243266028843,536
2021,0.000383397348242581,536
1970,0.000535645348271598,638
1971,7.52821486479662e-05,638
1972,0.000127755405897336,638
1973,0.000198557797679229,638
1974,0.000295452063811991,638
1975,0.000357671451688076,638
1976,0.000157880026650783,638
1977,0.00020947127497742,638
1978,0.000197537132101971,638
1979,0.000353499448713613,638
1980,0.000265239511837228,638
1981,0.000433703936219137,638
1982,0.000366770544576263,638
1983,0.000663308779079963,638
1984,0.00195973237454217,638
1985,0.00170053739858741,638
1986,0.00138851786141053,638
1987,0.00235596903159278,638
1988,0.00219045833635827,638
1989,0.00201644340835269,638
1990,0.00380589502956617,638
1991,0.00159703813415786,638
1992,0.00203408603116043,638
1993,0.00239945126782015,638
1994,0.00223310278726642,638
1995,0.00234498272297612,638
1996,0.0023152398707842,638
1997,0.00291720734584331,638
1998,0.00199698115837767,638
1999,0.00230959530870396,638
2000,0.0019290668945633,638
2001,0.00199772618672947,638
2002,0.00173938195350375,638
2003,0.00238229784460598,638
2004,0.00188389177096671,638
2005,0.00193950245624055,638
2006,0.00162629626622547,638
2007,0.00224437022193456,638
2008,0.00189516353397952,638
2009,0.00221816780584198,638
2010,0.0023227794063261,638
2011,0.00243571964154415,638
2012,0.00222446597936842,638
2013,0.00199091745519435,638
2014,0.00225631402219246,638
2015,0.00233888760135923,638
2016,0.00208364331880835,638
2017,0.00210046975775922,638
2018,0.00180416013667922,638
2019,0.00197955168581346,638
2020,0.00239456544772242,638
2021,0.00233260314256607,638
1970,0.000185981748423107,666
1971,0.000129801623173596,666
1972,0.000140031917673758,666
1973,0.000206843872444036,666
1974,0.000234302332982335,666
1975,0.000234681817043679,666
1976,0.000340005574270493,666
1977,0.000181524259077215,666
1978,0.000241919807005774,666
1979,0.000133395311031913,666
1980,0.000143715194661015,666
1981,0.000191062792507657,666
1982,0.000456682248714292,666
1983,0.000155307816599423,666
1984,0.000269241814555956,666
1985,0.000220048253394424,666
1986,8.02702200121338e-05,666
1987,0.00110984900838241,666
1988,7.75974253313009e-05,666
1989,0.000117781445072268,666
1990,0.000238884507936947,666
1991,0.000245635989917653,666
1992,0.000192396662506802,666
1993,0.00022179538790153,666
1994,0.000270600806811678,666
1995,0.000314678067425634,666
1996,0.000567885511612158,666
1997,0.000575247681964729,666
1998,0.000534302760828015,666
1999,0.000701629652164774,666
2000,0.00084642782883443,666
2001,0.000592690237257369,666
2002,0.000486122318475957,666
2003,0.00049415478458089,666
2004,0.000547128984134233,666
2005,0.000471839953804613,666
2006,0.000434760765525565,666
2007,0.000406089181111579,666
2008,0.000537221038333541,666
2009,0.000482953510235808,666
