dst_court,avg_age
abac,10
abca,11
abci,23
abesdab,0
abesu,3
abgaa,4
abhrc,3
ablcb,18
ablerb,1
ablrb,3
abls,3
aboipc,7
abpc,4
abqb,9
absdab,3
absec,2
absr,13
absrb,6
abwcac,2
bcca,11
bccc,25
bccrt,0
bchprb,1
bchrt,3
bcipc,8
bcla,6
bclrb,5
bcpc,4
bcsc,9
bcsec,2
bcwcat,5
caci,15
cacm,9
cact,8
caf,7
caiiroc,2
cala,4
camfda,2
cart,1
casa,8
cci,6
ccri,7
cfpi,6
chrt,5
cirb,6
cisr,3
citt,5
cm,2
cmac,8
comc,7
crac,1
crtefp,0
crtfp,4
csc,6
csc-a,3
fca,7
fct,5
forep,121
irb,3
lsbc,4
mbca,13
mbcc,17
mbcpsdc,8
mbhrc,1
mblb,1
mbls,8
mbpc,5
mbqb,15
nbapab,7
nbbr,6
nbca,10
nbcssiat,1
nbcte,12
nbfcst,2
nbirb,8
nbla,33
nbleb,10
nblsb,6
nbpc,5
nbqb,10
nbsec,5
nbwcat,9
nbwhscc,2
nlca,7
nlipc,6
nlla,1
nlls,7
nlpc,3
nlsc,10
nlsctd,7
nsbs,7
nsca,10
nsfc,6
nsfoipop,10
nshrc,5
nslb,2
nslrb,4
nslst,2
nsohsap,1
nspc,3
nspr,19
nssc,10
nssf,5
nssm,4
nsuarb,3
nswcat,1
ntca,9
nthrap,3
ntro,2
ntsc,12
nttc,11
ntyjc,1
nuca,3
nucj,3
nuyc,3
ohstc,2
onafraat,5
onca,13
oncc,7
onccb,4
oncfsrb,2
oncj,5
oncno,10
oncpdc,1
oncps,4
oncpsd,5
ondr,45
onfst,7
ongsb,5
onhcj,8
onhparb,3
onhrt,2
onhsarb,4
onipc,8
onla,4
onlat,0
onlrb,7
onlst,3
onltb,1
onomb,1
onpeht,8
onpgb,3
onsbt,3
onsc,11
onscdc,7
onscsm,3
onsec,3
ontb,2
onwsiat,8
onwsib,3
pcc,8
peihrc,2
peipc,6
pepc,3
pescad,9
pesctd,10
psdpt,4
pslreb,1
pssrb,3
psst,3
qcadmaq,7
qcagq,7
qcamf,8
qcbdr,2
qcbdrvm,4
qcca,7
qccai,2
qccalp,13
qccdbq,3
qccdchad,3
qccdcm,4
qccdcsf,4
qccdhj,3
qccdnq,4
qccdoii,4
qccdoiia,4
qccdoiq,4
qccdomv,11
qccdoooq,15
qccdopq,4
qccdp,5
qccdppq,6
qccdrhri,7
qccfp,2
qccja,1
qcclp,5
qccm,5
qccmnq,3
qccmq,4
qccpa,3
qccptaq,6
qccq,6
qccraaap,4
qccrt,4
qccs,5
qccse,9
qccsst,9
qcct,8
qccvm,10
qcdag,5
qcoaciq,3
qcoagq,8
qcoapq,2
qcoaq,6
qcoarq,5
qcochq,8
qcocq,2
qcodlq,5
qcodq,5
qcoeaq,5
qcoeq,6
qcohdq,4
qcoifq,10
qcooaq,1
qcooq,1
qcopiq,2
qcopodq,7
qcoppq,2
qcopq,5
qcotimro,5
qcotpq,1
qcotstcfq,2
qcottiaq,4
qcouq,4
qcracj,4
qcrbq,1
qcrdl,1
qcrmaaq,4
qcsat,7
qctaq,3
qctat,0
qctdp,6
qctmf,0
qctp,6
qctt,10
scc,16
scc-l,6
sct,2
skac,16
skaia,2
skca,14
skdc,18
skfca,0
skhrt,16
skipc,3
skla,3
sklgb,31
sklrb,4
sklss,3
skmb,1
skmt,46
skort,1
skpc,3
skqb,11
sksc,25
sksu,16
skufc,6
sst,1
tcc,4
tcce,4
tcdp,8
tmob,3
tsstc,4
ukjcpc,37
ykca,6
yksc,4
yksm,5
yktc,6
ykyc,4
