year,volume
1838,13
1865,13
1873,13
1874,13
1875,13
1876,13
1877,14
1878,14
1879,14
1880,14
1881,14
1882,14
1883,14
1884,14
1885,14
1886,14
1887,14
1888,14
1889,14
1890,14
1891,14
1892,14
1893,14
1894,14
1895,14
1896,14
1897,14
1898,14
1899,14
1900,14
1901,14
1902,14
1903,14
1904,14
1905,14
1906,14
1907,17
1908,17
1909,17
1910,17
1911,17
1912,17
1913,17
1914,17
1915,17
1916,17
1917,17
1918,17
1919,17
1920,17
1921,17
1922,18
1923,18
1924,18
1925,18
1926,18
1927,18
1928,18
1929,18
1930,18
1931,18
1932,18
1933,18
1934,18
1935,18
1936,18
1937,18
1938,18
1939,18
1940,18
1941,18
1942,18
1943,18
1944,18
1945,20
1946,20
1947,20
1948,20
1949,20
1950,20
1951,20
1952,20
1953,20
1954,20
1955,20
1956,20
1957,20
1958,20
1959,20
1960,20
1961,20
1962,20
1963,20
1964,20
1965,20
1966,20
1967,20
1968,20
1969,20
1970,21
1971,22
1972,22
1973,22
1974,23
1975,23
1976,23
1977,24
1978,26
1979,28
1980,28
1981,29
1982,29
1983,30
1984,30
1985,31
1986,34
1987,36
1988,37
1989,39
1990,45
1991,47
1992,48
1993,53
1994,55
1995,57
1996,63
1997,68
1998,75
1999,81
2000,109
2001,118
2002,156
2003,171
2004,184
2005,193
2006,201
2007,214
2008,233
2009,242
2010,254
2011,256
2012,263
2013,273
2014,276
2015,282
2016,290
2017,297
2018,303
2019,312
2020,314
2021,314
