src_jurisdiction,dst_jurisdiction,count
ab,bc,16851
ab,ca,77956
ab,mb,5606
ab,nb,1924
ab,nl,1176
ab,ns,2906
ab,nt,476
ab,nu,30
ab,on,26668
ab,pe,525
ab,qc,1432
ab,sk,6854
ab,yk,228
bc,ab,9809
bc,ca,106586
bc,mb,5643
bc,nb,1814
bc,nl,1057
bc,ns,3082
bc,nt,251
bc,nu,30
bc,on,34127
bc,pe,420
bc,qc,1756
bc,sk,5335
bc,yk,581
ca,ab,4109
ca,bc,7435
ca,mb,2261
ca,nb,1007
ca,nl,535
ca,ns,1324
ca,nt,138
ca,nu,15
ca,on,14544
ca,pe,231
ca,qc,3978
ca,sk,2059
ca,yk,91
mb,ab,4570
mb,bc,5573
mb,ca,26060
mb,nb,805
mb,nl,475
mb,ns,1140
mb,nt,101
mb,nu,19
mb,on,11374
mb,pe,191
mb,qc,554
mb,sk,3171
mb,yk,77
nb,ab,2111
nb,bc,3613
nb,ca,21575
nb,mb,1299
nb,nl,518
nb,ns,1637
nb,nt,58
nb,nu,8
nb,on,7954
nb,pe,257
nb,qc,509
nb,sk,1452
nb,yk,36
nl,ab,1477
nl,bc,2265
nl,ca,12607
nl,mb,754
nl,nb,578
nl,ns,994
nl,nt,48
nl,nu,12
nl,on,4218
nl,pe,319
nl,qc,221
nl,sk,875
nl,yk,29
ns,ab,2591
ns,bc,4373
ns,ca,25915
ns,mb,1473
ns,nb,1071
ns,nl,643
ns,nt,77
ns,nu,10
ns,on,10181
ns,pe,276
ns,qc,515
ns,sk,1514
ns,yk,67
nt,ab,615
nt,bc,397
nt,ca,1754
nt,mb,175
nt,nb,47
nt,nl,27
nt,ns,81
nt,nu,9
nt,on,605
nt,pe,22
nt,qc,59
nt,sk,193
nt,yk,30
nu,ab,221
nu,bc,99
nu,ca,624
nu,mb,41
nu,nb,6
nu,nl,18
nu,ns,20
nu,nt,66
nu,on,230
nu,pe,3
nu,qc,10
nu,sk,32
nu,yk,20
on,ab,8231
on,bc,15968
on,ca,110923
on,mb,4776
on,nb,1914
on,nl,1012
on,ns,3133
on,nt,268
on,nu,37
on,pe,410
on,qc,2060
on,sk,4191
on,yk,158
pe,ab,497
pe,bc,711
pe,ca,3414
pe,mb,355
pe,nb,204
pe,nl,88
pe,ns,412
pe,nt,12
pe,on,1737
pe,qc,63
pe,sk,310
pe,yk,7
qc,ab,3956
qc,bc,5996
qc,ca,113050
qc,mb,1760
qc,nb,918
qc,nl,755
qc,ns,1235
qc,nt,122
qc,nu,21
qc,on,14653
qc,pe,191
qc,sk,1727
qc,yk,92
sk,ab,7339
sk,bc,8216
sk,ca,38463
sk,mb,4537
sk,nb,1027
sk,nl,597
sk,ns,1678
sk,nt,171
sk,nu,17
sk,on,13972
sk,pe,248
sk,qc,681
sk,yk,109
yk,ab,296
yk,bc,1203
yk,ca,1894
yk,mb,119
yk,nb,36
yk,nl,36
yk,ns,93
yk,nt,43
yk,nu,7
yk,on,786
yk,pe,17
yk,qc,63
yk,sk,141
